segment_0000|Agradezco al Departamento de Educación la oportunidad y el honor de estar acá dictando esta cátedra de un tema tan apasionante como lo es el futuro y sobre todo de un personaje tan...|agradezco al departamento de educación la oportunidad y el honor de estar acá dictando esta cátedra de un tema tan apasionante como lo es el futuro y sobre todo de un personaje tan...
segment_0001|disruptivo como lo es Steve Jobs. Además, tener un público tan selecto, en el que yo sé que muchas de ustedes son curiosas, intelectuales.|disruptivo como lo es steve jobs. además, tener un público tan selecto, en el que yo sé que muchas de ustedes son curiosas, intelectuales.
segment_0002|y que espero tengan este diálogo también conmigo, ¿verdad?, en la búsqueda de entender a una de estas personalidades, no solo desde un punto de vista...|y que espero tengan este diálogo también conmigo, ¿verdad?, en la búsqueda de entender a una de estas personalidades, no solo desde un punto de vista...
segment_0003|de sus logros como visionario, como empresario, sino también entenderlo como persona. ¿Y cuáles fueron?|de sus logros como visionario, como empresario, sino también entenderlo como persona. ¿y cuáles fueron?
segment_0004|Esas motivaciones profundas que del lado humano nos motivan a ser tan achievers, o nos motivan a tener...|esas motivaciones profundas que del lado humano nos motivan a ser tan achievers, o nos motivan a tener...
segment_0005|estos grandes logros que era este personaje también de Steve Jobs que se enfrentó a muchas polémicas en su manera.|estos grandes logros que era este personaje también de steve jobs que se enfrentó a muchas polémicas en su manera.
segment_0006|en su manera de ser, en su manera de hacer las cosas, en su manera de tratar a otros cuando trabaja en procesos creativos.|en su manera de ser, en su manera de hacer las cosas, en su manera de tratar a otros cuando trabaja en procesos creativos.
segment_0007|el legado. Empecemos, para mí son muy importantes los años porque creo que la línea del tiempo nos permite ir viendo la evolución del personaje.|el legado. empecemos, para mí son muy importantes los años porque creo que la línea del tiempo nos permite ir viendo la evolución del personaje.
segment_0008|Entonces quisiera hablarles del legado de 1955, que es el momento en el que él nace, hacia el 2011, que es el momento en el que él fallece.|entonces quisiera hablarles del legado de 1955, que es el momento en el que él nace, hacia el 2011, que es el momento en el que él fallece.
segment_0009|Fue un visionario empresario e innovador que revolucionó a la industria tecnológica y del entretenimiento. Este es un dato muy importante, pocos conocen la faceta de Steve Jobs.|fue un visionario empresario e innovador que revolucionó a la industria tecnológica y del entretenimiento. este es un dato muy importante, pocos conocen la faceta de steve jobs.
